All,Vše
Sender,Odesílatel
Invitee,Oslovení
"Add Invitee",Oslovit
Type:,Typ:
"Requested Quantity","Požadované množství"
"Remaining Quantity","Zbývající množství"
"Required Fields","Povinná pole"
"Search Options","Možnosti hledání"
"Search Results","Výsledky hledání"
Location,Lokalita
"Search By","Hledat podle"
"Unit Price","Cena za kus"
"You have successfully created the new gift registry ""%registry_name"".","Seznam dárků ""%registry_name"" byl úspěšně vytvořen."
"You can view and purchase items from this gift registry at <a href='%account_url'>%store_name</a>.","Můžete prohlížet a nakupovat položky tohoto evidovaného darku v <a href=""%account_url"">%store_name</a>."
"The following items have been purchased from your gift registry ""%registry_name"":","Z vašeho seznamu dárků ""%registry_name"" byly zakoupeny následující položky:"
"Recipient Address","Adresa příjemce"
"General Options","Základní údaje"
"Default Template","Výchozí šablona"
"Gift Wrapping","Dárkové balení"
"Add Gift Wrapping","Přidat dárkové balení"
"New Gift Wrapping","Přidat dárkové balení"
"We can't save the gift wrapping right now.","Dárkové balení momentálně nelze uložit."
"We can't update the image right now.","Obrázek momentálně nelze upravit."
"Excluding Tax","Bez daně"
"Including Tax","Včetně DPH"
"Including and Excluding Tax","Včetně a bez DPH"
"Leave a box blank if you don't want to add gift wrapping for whole order.","Nechcete-li přidat dárkové balení na celou objednávku, nechte údaj prázdný."
"Price Excl. Tax","Cena bez DPH"
"Price Incl. Tax","Cena s DPH"
"Gift wrapping","Dárkové balení"
"No image","Bez obrázku"
"Allow Gift Wrapping on Order Level","Povolit dárkové balení na úrovni objednávky"
"Allow Gift Wrapping for Order Items","Povolit dárkové balení pro položky objednávky"
Constant,Konstantní
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Hodnota barvy konverze není platná ""%1"". Zadejte prosím hexadecimální 6-ti místnou hodnotu."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Hodnota ID konverze není platná ""%1"". ID konverze musí být celé číslo."
"Conversion ID","ID konverze"
"Conversion Language","Jazyk konverze"
"Conversion Format","Formát konverze"
"Conversion Color","Barva konverze"
"Conversion Label","Označení konverze"
"Conversion Value Type","Typ hodnoty konverze"
"Conversion Value","Hodnota konverze"
"Product View Optimization","Optimalizace zobrazení produktu"
"Page View Optimization","Optimalizace zobrazení stránky"
"Data key is missing: %1","Datový klíč %1 chybí"
"Google Analytics Content Experiments Code","Kód Google Analytics Experimentu"
"Experiment Code","Kód experimentu"
"Experiment code should be added to the original page only.","Kód experimentu by měl být vložen pouze na původní stránku."
"Enable Content Experiments","Zapnout Experimenty"
"Category View Optimization","Optimalizace zobrazení kategorie"
"Send to Google","Poslat na Google"
"Account type","Typ účtu"
"Grouped Products","Skupinové produkty"
"Please specify the quantity of product(s).","Zvolte požadované množství produktu(ů)."
"Cannot process the item.","Položka nelze zpracovat."
"Add Products to Group","Přidat produkty do skupiny"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","Skupinový produkt tvoří více jednotlivých produktů prezentovaných ve skupině. Lze tak nabídnout varianty jednoho produktu nebo je seskupovat dle sezóny nebo tématu k vytvoření jednotné skupiny. Jednotlivé produkty lze zakoupit samostatně nebo jako součást skupiny."
"There are no grouped products.","Nejsou žádné skupinové produkty"
"Default Qty","Výchozí množství"
"Starting at",Od
"Grouped product items","Položky skupinového produktu"
"Grouped Product Image","Obrázek skupinového produktu"
"Export Settings","Nastavení exportu"
"Entity Type","Typ entit"
"Export File Format","Formát souboru"
"We can't filter an attribute with no attribute options.","Nelze filtrovat atribut bez použití voleb atributu."
Filter,Filtr
"Unknown attribute filter type","Neznámý typ filtru atributů"
"Check Data","Ověřit data"
"Import Settings","Nastavení importu"
"Import Behavior","Chování importu"
"Allowed Errors Count","Počet povolených chyb"
"Please specify number of errors to halt import process","Zadejte počet chyb k zastavení procesu importu"
"Field separator","Oddělovač polí"
"Multiple value separator","Oddělovač násobných hodnot"
"File to Import","Importovaný soubor"
"Select File to Import","Vyberte soubor pro import"
"Images File Directory","Adresář souborů obrázků"
"Download Sample File","Stáhnout ukázkový soubor"
"Please correct the data sent value.","Opravte zaslaná data prosím."
"Sorry, but the data is invalid or the file is not uploaded.","Soubor nebyl nahrán nebo jsou data neplatná."
Import/Export,"Import / Export"
"Import History","Historie importu"
"Import history","Historie importu"
"There is no sample file for this entity.","Pro tuto entitu ukázkový soubor není."
"Maximum error count has been reached or system error is occurred!","Bylo dosaženo maximálního počtu chyb nebo nastala systémová chyba!"
"Only the first 100 errors are shown. ","Je zobrazeno pouze prvních 100 řádků. "
"Download full report","Stáhnout kompletní zprávu"
"Import successfully done","Import byl dokončen"
"The file was not uploaded.","Soubor nebyl nahrán."
"Data validation failed. Please fix the following errors and upload the file again.","Ověření dat se nezdařilo. Prosím opravte následující chyby a odešlete soubor znovu."
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Ověřeno řádků: %1, ověřeno entit: %2, chybných řádků: %3, celkem chyb: %4"
"This file is empty. Please try another one.","Tento soubor je prázdný. Zkuste jiný."
"File is valid! To start import process press ""Import"" button","Soubor je v pořádku! Proces zahájíte kliknutím na tlačítko ""Importovat"""
"The file is valid, but we can't import it for some reason.","Soubor je v pořádku, ale z nějakého důvodu jej nelze importovat."
"Show more","Zobrazit více"
"Additional data","Další údaje"
"Following Error(s) has been occurred during importing process:","Během importu došlo k následujícím chybám:"
"in row(s):","na řádcích:"
"Make sure your file isn't more than %1M.","Maximální povolená velikost souboru je %1M."
"We can't provide the upload settings right now.","Nahrání souboru momentálně nelze nastavit."
"Created: %1, Updated: %2, Deleted: %3","Vytvořeno: %1, upraveno: %2, odstraněno: %3"
"Please enter a correct entity model.","Zvolte správný model entity prosím."
"The entity adapter object must be an instance of %1 or %2.","Objekt adaptéru entity musí být instancí %1 nebo %2."
"The input entity code is not equal to entity adapter code.","Kód vstupní entity neodpovídá kódu adaptéru entity."
"Please enter a correct entity.","Zadejte správnou entitu."
"The adapter object must be an instance of %1.","Objekt adaptéru musí být instancí %1."
"Please correct the file format.","Opravte formát souboru prosím."
"Begin export of %1","Zahájení exportu %1"
"There is no data for the export.","K exportu nejsou žádná data."
"Exported %1 rows.","Exportováno %1 řádků."
"The export is finished.","Export byl dokončen."
"Please provide filter data.","Zadejte platná data filtru prosím."
"We can't determine the attribute filter type.","Typ filtru atributu nelze určit."
"Entity is unknown","Neznámá entita"
"We can't identify this file format.","Formát souboru nelze určit."
"Please correct the value for ""%1"" column.","Opravte hodnotu sloupce ""%1""."
"Please specify the writer.","Writer musí být zvolen."
"The destination file path must be a string.","Cílová cesta k souboru musí být řetězec."
"The destination directory is not writable.","Cílový adresář není zapisovatelný."
"Destination file is not writable","Cílový soubor není zapisovatelný"
"The header column names are already set.","Názvy záhlaví sloupců jsou již nastaveny."
"in row(s)","v řádcích"
"The validation is complete.","Ověření je dokončeno."
"This file does not contain any data.","Tento soubor neobsahuje žádná data."
"Begin import of ""%1"" with ""%2"" behavior","Zahájení importu ""%1"" v režimu ""%2"""
"The import was successful.","Import byl úspěšný."
"The file you uploaded has no extension.","Nahraný soubor nemá žádnou příponu."
"The source file moving process failed.","Přesouvání zdrojového souboru se nezdařilo."
"Begin data validation","Zahájení ověření dat"
"Import data validation is complete.","Ověření importovaných údajů je dokončeno."
"The behavior token for %1 is invalid.","Token režimu pro %1 je neplatný."
"Please enter a correct entity model","Zvolte správný model entity prosím"
"Source file coping failed","Kopírování zdrojového souboru se nezdařilo"
"The source is not set.","Zdroj není nastaven."
"The adapter type must be a non-empty string.","Typ adaptéru musí být neprázdný řetězec."
"'%1' file extension is not supported","Typ souboru '%1' není podporován"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Adaptér musí být instancí \Magento\ImportExport\Model\Import\AbstractSource"
"Please specify a source.","Zvolte zdroj prosím."
"ImportExport: Import Data validation - Validation strategy not found","ImportExport: Ověření importovaných dat - strategie ověření nebyla nalezena"
"Cannot get autoincrement value","Auto-inkrementální hodnotu nelze získat"
"Error in data structure: %1 values are mixed","Chyba ve struktuře dat: hodnoty %1 jsou smíšené"
Add/Update,"Přidat / Upravit"
Replace,Nahradit
"Add/Update Complex Data","Přidat / Upravit komplexní údaje"
"Delete Entities","Odstranit entity"
"Custom Action","Vlastní akce"
"URL key for specified store already exists.","URL klíč ve zvoleném obchodě již existuje."
"Entity Attributes","Atributy entity"
"Validation Results","Výsledky ověření"
"Start Date&Time","Datum a čas zahájení"
User,Uživatel
"Imported File","Importovaný soubor"
"Error File","Chybový soubor"
"Execution Time","Doba provádění"
"Indexer Management","Správa indexů"
"Update by Schedule","Aktualizovat podle plánu"
"Update on Save","Aktualizovat při ukládání"
"Reindex required",Aktualizujte
Ready,Aktuální
Processing,Aktualizuji
"Index Management","Správa indexů"
"Please select indexers.","Zvolte indexy prosím"
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 index(y) jsou v režimu ""Aktualizovat podle plánu""."
"We couldn't change indexer(s)' mode because of an error.","Při změně režimu aktualizace indexu(ů) nastala chyba."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 index(y) jsou v režimu ""Aktualizovat při ukládání""."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","Jeden nebo více <a href=""%1"">indexů je neplatných</a>. Zkontrolujte, zda běží <a href=""%2"" target=""_blank"">Magento cron</a>."
"State for the same indexer","Stav pro stejný index"
"State for the same view","Stav pro stejné zobrazení"
"Some Exception Message","Zpráva výjimky"
"Test Phrase","Testovací výraz"
"Change indexer mode","Změnit režim indexování"
Indexer,Index
Mode,Režim
"Payment method is not defined for instance purchase.","Pro instanci nákupu není definován způsob platby."
"Shipping address is not defined for instance purchase.","Pro instanci nákupu není definována doručovací adresa."
"Billing address is not defined for instance purchase.","Pro instanci nákupu není definována fakturační adresa."
"Shipping method is not defined for instance purchase.","Pro instanci nákupu není definován způsob přepravy."
"Specified payment method is not available now.","Způsob platby není momentálně k dispozici."
"Specified shipping method is not available.","Způsob přepravy není momentálně k dispozici."
"Appropriate shipping method is not available.","Vhodný způsob přepravy není momentálně k dispozici."
"Cheapest price","Nejnižší cena"
"Instant purchase integration not available for token.","Pro token není integrace okamžitého nákupu dostupná."
"Instant Purchase","Okamžitý nákup"
"Instant Purchase Confirmation","Potvrzení okamžitého nákupu"
"Are you sure you want to place order and pay?","Skutečně chcete odeslat objednávku a zaplatit?"
"Shipping Method","Způsob dopravy"
"Button Text","Text tlačítka"
Integrations,Integrace
"Add New Integration","Přidat novou integraci"
"Save & Activate","Uložit & Aktivovat"
"New Integration","Nová integrace"
"Edit Integration '%1'","Úprava integrace '%1'"
"Integration Info","Nastavení integrace"
"Callback URL","URL zpětného volání"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Zadejte URL, kam mohou být odeslána OAuth pověření pro výměnu tokenů. Je důrazně doporučeno použití https://."
"Identity link URL","URL odkaz identity"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL adresa pro přesměrování uživatele k propojení svého účtu třetí strany s integračními pověřeními Magenta."
"Integration Details","Podrobnosti integrace"
"Integration Tokens for Extensions","Integrační tokeny pro rozšíření"
"Consumer Key","Klíč uživatele"
"Consumer Secret","Tajný klíč uživatele"
"Access Token","Přístupový token"
"Access Token Secret","Tajný přístupový token"
"Uninstall the extension to remove this integration","Odinstalovat rozšíření k odstranění této integrace"
Activate,Aktivovat
Reauthorize,"Znovu autorizovat"
"Uninstall the extension to remove integration '%1'.","Odinstalovat rozšíření k odstranění integrace '%1'."
"This integration no longer exists.","Tato integrace již neexistuje."
"The integration '%1' has been deleted.","Integrace '%1' byla odstraněna."
"Integration ID is not specified or is invalid.","ID integrace není zadáno nebo je neplatné."
"Internal error. Check exception log for details.","Vnitřní chyba. Podrobnosti naleznete v protokolu výjimek."
"View ""%1"" Integration","Zobrazit ""%1"" integraci"
"Edit ""%1"" Integration","Úprava ""%1"" integrace"
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Varování! Integrace, které nepoužívají protokol HTTPS, jsou nebezpečné a potenciálně vystavují soukromé nebo osobní identifikační údaje"
"The integration '%1' has been saved.","Integrace '%1' byla uložena."
"The integration was not saved.","Integrace nebyla uložena."
"The integration '%1' has been re-authorized.","Integrace '%1' byla znovu autorizována."
"The integration '%1' has been activated.","Integrace '%1' byla aktivována."
"Integration '%1' has been sent for re-authorization.","Integrace '%1' byla odeslána k opětovné autorizaci."
"Integration '%1' has been sent for activation.","Integrace '%1' byla odeslána k aktivaci."
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","Při odstranění rolí a oprávnění nastala chyba. Více informací naleznete v protokolu výjimek."
"This customer has no tokens.","Tento zákazník nemá žádný token."
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","Jedna nebo více <a href=""%1"">integrací</a> byly resetovány, protože došlo ke změně jejich konfiguračních XML souborů."
"Invalid Callback URL","Neplatná URL pro zpětné volání"
"Invalid Rejected Callback URL","Neplatná URL pro odmítnutí zpětného volání"
"Incorrect timestamp value in the oauth_timestamp parameter","Neplatná hodnota časového razítka v parametru oauth_timestamp"
"The nonce is already being used by the consumer with ID %1","Hodnota nonce je již používána spotřebitelem s ID %1"
"An error occurred validating the nonce","Při ověřování nonce nastala chyba"
"Cannot convert to access token due to token is not request type","Nelze převést do aplikace access token z tokenu není typ požadavku"
"Consumer key has expired","Platnost klíče vypršela"
"Cannot create request token because consumer token is not a verifier token","Nelze získat token požadavku, protože token zákazníka není token ověření"
"Request token is not associated with the specified consumer","Token požadavku není přiřazen zadanému zákazníkovi"
"Token is already being used","Token je již používán"
"Cannot get access token because consumer token is not a request token","Nelze získat přístupový token, protože token zákazníka není token požadavku"
"Token is not associated with the specified consumer","Token není přiřazen zadanému zákazníkovi"
"Token is not an access token","Token není přístupový token"
"Access token has been revoked","Přístupový token byl odvolán"
"Consumer key is not the correct length","Klíč spotřebitele nemá správnou délku"
"A consumer having the specified key does not exist","Zákazník s tímto klíčem neexistuje"
"Verifier is invalid","Ověřovatel je neplatný"
"Verifier is not the correct length","Ověřovatel nemá správnou délku"
"Token verifier and verifier token do not match","Tokeny ověřovatele se neshodují"
"A consumer with the ID %1 does not exist","Spotřebitel s ID %1 neexistuje"
"Specified token does not exist","Zadaný token neexistuje"
"A token with consumer ID %1 does not exist","Token se zákaznickým ID %1 neexistuje"
"Invalid token to except","Neplatný token"
"A token with consumer ID 0 does not exist","Token se spotřebitelským ID 0 neexistuje"
"The integration you selected asks you to approve access to the following:","Zvolená integrace požaduje schválení přístupu k následujícímu:"
"No permissions requested","Nejsou vyžadována žádná oprávnění"
"Are you sure you want to delete this integration? You can't undo this action.","Skutečně chcete tuto integraci odstranit? Tuto akci nelze vzít zpět."
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Nastavte prosím nebo se přihlaste k účtu třetí strany k dokončení instalace této integrace."
"Available APIs","Dostupná API"
"Resource Access","Zdroj přístupu"
Resources,Zdroje
"Sorry, something went wrong. Please try again later.","Něco se nezdařilo. Zkuste to znovu."
"Popup Blocker is enabled! Please add this site to your exception list.","Je povoleno blokování vyskakovacích oken! Prosím, přidejte tento web do seznamu výjimek."
Extensions,Rozšíření
"Cleanup Settings","Nastavení úklidu"
"Cleanup Probability","Pravděpodobnost úklidu"
"Expiration Period","Období platnosti"
"Consumer Settings","Nastavení uživatele"
"OAuth consumer credentials HTTP Post maxredirects","HTTP Post maxredirects pro OAuth pověření spotřebitele"
"OAuth consumer credentials HTTP Post timeout","HTTP Post časový limit pro OAuth pověření spotřebitele"
"Integrations Configuration","Nastavení propojení"
"Integration configuration file","Konfigurační soubor integrace."
"Integrations API Configuration","API nastavení integrace"
"Integrations API configuration file","Konfigurační soubor API integrace"
Invitations,Pozvánky
"Add Invitations","Přidat pozvánky"
"New Invitations","Nové pozvánky"
"Enter Each Email on New Line","Zadejte každý e-mail na novém řádku"
"Discard Invitation","Zrušit pozvánku"
"Save Invitation","Uložit pozvánku"
"Send Invitation","Zaslat pozvánku"
"We can't find this invitation.","Tuto pozvánku nelze najít."
"Please select invitations.","Vyberte pozvánky."
"We can't save this customer.","Tohoto zákazníka nelze uložit."
"My Invitations","Moje pozvánky"
"Please correct the invitation email.","Opravte e-mailovou pozvánku."
Accepted,Přijato
Link,Odkaz
"Customer ID","ID zákazníka"
"Maximum %1 email addresses allowed.","Povoleno maximálně %1 e-mailových adres."
"Back to Invitations","Zpět na pozvánky"
"Enter Email","Zadejte e-mail"
"Invited Customers","Pozvaní zákazníci"
Conversion,Konverzace
Conversions,Konverzace
"Send Selected","Odeslat vybrané"
"Filterable (with results)","Filtrovatelný (s výsledky)"
"Filterable (no results)","Filtrovatelný (bez výsledků)"
"Use in Layered Navigation","Použít ve vrstvené navigaci"
"Use in Search Results Layered Navigation","Použít ve vrstvené navigaci výsledků hledání"
"Position in Layered Navigation","Pořadí ve vrstvené navigaci"
"Position of attribute in layered navigation block.","Pořadí atributu v bloku vrstvené navigace."
item,položka
items,položky
"Now Shopping by","Aktivní filtr pro"
"Layered Navigation","Vrstvená navigace"
"Display Product Count","Zobrazit počet produktů"
"Price Navigation Step Calculation","Kalkulace cenových intervalů filtru"
"Default Price Navigation Step","Výchozí krok intervalu ceny"
"Maximum Number of Price Intervals","Maximální počet intervalů ceny"
"Maximum number of price intervals is 100","Maximální počet intervalů ceny je 100"
"Display Price Interval as One Price","Zobrazit interval jako jednu cenu"
"This setting will be applied when all prices in the specific price interval are equal.","Toto nastavení bude použito, jsou-li všechny ceny v konkrétním intervalu stejné."
"Interval Division Limit","Limit intervalu"
"Please specify the number of products, that will not be divided into subintervals.","Zadejte množství produktů, které nebude rozděleno do intervalů."
"Log Entry #%1","Položka protokolu #%1"
"Source Data","Zdrojová data"
"No changes","Beze změn"
"The item was deleted","Položka byla odstraněna"
"All Users","Všichni uživatelé"
"Admin Actions Log","Protokol činností správce"
"Admin Actions Archive","Archiv činností správce"
"actions' 'label","činnosti' 'označení"
"Tax Rates Import","Import daňových sazeb"
"Attributes Updated","Atributy aktualizovány"
Success,Úspěch
"This user is locked","Tento uživatel je uzamčen"
IP-Address,"IP adresa"
"Error Message","Chybová hláška"
Logging,Protokolování
Archive,Archiv
"Admin Actions Log Archiving","Archivace protokolu akcí správce"
"Log Archiving Frequency","Frekvence archivace protokolu"
"Admin Actions Logging","Protokolování činností správce"
"Enabled Actions","Povolené akce"
"Mass Delete","Hromadné odstranění"
"Mass Update","Hromadná aktualizace"
Move,Přesunout
"Forgot Password","Zapomenuté heslo"
Reorder,"Objednat znovu"
Print,Tisk
Run,Spustit
Clean,Vyčistit
Fetch,Stáhnout
"Update State","Upravit situaci"
Send,Odeslat
Create,Vytvořit
"Catalog Products","Produkty katalogu"
"URL Rewrites","Přepisy URL"
"Catalog Attributes","Atributy katalogu"
"Cart Price Rules","Cenová pravidla košíku"
"Newsletter Queue","Fronta newsletteru"
"Newsletter Templates","Šablony zpravodaje"
"Newsletter Subscribers","Odběratelé newsletteru"
"Manage Store Views","Správa zobrazení obchodu"
"Custom Variables","Vlastní proměnné"
"System Backups","Zálohy systému"
"Customer Tax Classes","Daňové třídy zákazníka"
"Catalog Product Tax Classes","Daňové třídy produktů"
"Tax Rules","Daňová pravidla"
"Tax Rates","Daňové sazby"
"XML Sitemap","XML mapa stránek"
"PayPal Settlement Reports","Přehledy PayPal plateb"
"IP Address","IP adresa"
Result,Výsledek
Partners,Partneři
"Magento Marketplace","Magento tržiště"
"Platinum Partners","Platinum partneři"
"Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.","Představují nejvyšší úroveň partnerské angažovanosti. Magento Platinum Partneři se etablovali jako vůdci a inovátoři klíčových produktů a služeb, které pomáhají obchodníkům a značkám k růstu jejich podnikání. Magento si vyhrazuje Platinum úroveň pro vybrané důvěryhodné partnery, které se zavázaly k poskytování integrace obchodních nástrojů a funkcí, backend systémů a operací k rozšíření a posílení obchodní platformy Magento."
"Featured Platinum Partners","Doporučení Platinum partneři"
"Partner search","Hledání partnera"
"Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, search, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.","Magento má prosperující ekosystém technologických partnerů pomáhající obchodníkům a značkám aplikovat ty nejlepší možné zkušenosti zákazníků. Jsou uznávanými odborníky v e-commerce, SEO, e-mailovém marketingu, platbách, optimalizacích, analýzách a dalších oborech. Navštivte adresář Magenta a seznamte se s našimi ověřenými partnery."
"More Partners","Další partneři"
"Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.","Rozšíření a témata jsou nezbytnou součástí ekosystému Magento. Navštivte Magento tržiště a podívejte se na aktuální a inovativní novinky vytvořené vývojáři, aby rošířily schopnosti a funkce vašeho obchodu."
"Visit Magento Marketplaces","Navštivte Magento tržiště"
"Read More","Číst dále"
"Partner Page","Stránka partnera"
"No partners were found","Nebyly nalezeni žádní partneři."
Synchronize,Synchronizovat
"Synchronizing %1 to %2","Synchronizuji %1 s %2"
Synchronizing...,"Probíhá synchronizace..."
"The timeout limit for response from synchronize process was reached.","Byl dosažen časový limit procesu synchronizace."
"File %1 is not readable","Soubor %1 není čitelný"
"File System","Souborový systém"
"database ""%1""","databáze ""%1"""
"Parent directory does not exist: %1","Nadřazený adresář neexistuje: %1"
"File system","Souborový systém"
"Unable to save file ""%1"" at ""%2""","Soubor ""%1"" nelze v ""%2"" uložit"
"Wrong file info format","Chybný formát údajů souboru"
"Path ""%value%"" is protected and cannot be used.","Cesta ""%value%"" je chráněná a nelze ji použít."
"Path ""%value%"" is not available and cannot be used.","Cesta ""%value%"" je nedostupná a nelze ji použít."
"Please set available and/or protected paths list(s) before validation.","Před ověřením nastavte dostupné a/nebo chráněné seznamy cest."
"File with an extension ""%value%"" is protected and cannot be uploaded","Soubor s příponou ""%value%"" je chráněný a nelze jej nahrát"
"Unable to create directory: %1","Nelze vytvořit adresář: %1"
"Unable to save file: %1","Nelze uložit soubor: %1"
"Storage Configuration for Media","Nastavení úložiště médií"
"Select Media Database","Zvolit databázi médií"
"Environment Update Time","Čas aktualizace prostředí"
"Some exception","Nějaká vyjímka"
"To see product price, add this item to your cart. You can always remove it later.","Chcete-li zobrazit cenu, vložte produkt do košíku. Odebrat jej můžete vždy."
"On Gesture","Na gesto"
"In Cart","V košíku"
"Before Order Confirmation","Před potvrzením objednávky"
"Order total will be displayed before you submit the order","Částka k úhradě bude zobrazena před odesláním objednávky"
"You will see the order total before you submit the order.","Částka k úhradě bude zobrazena před odesláním objednávky."
"Actual Price","Aktuální cena"
"Minimum Advertised Price","Minimální prodejní cena"
"Enable MAP","Zapnout MAP"
"Display Actual Price","Zobrazit aktuální cenu"
"Default Popup Text Message","Výchozí text popup oznámení"
"Default ""What's This"" Text Message","Výchozí text oznámení ""Co to znamená"""
Wishlist,Oblíbené
"My Wish Lists","Moje seznamy přání"
"1 item in wish list","1 oblíbená položka"
"%1 items in wish list","Oblíbených položek: %1"
"We can't create the wish list right now.","Seznam oblíbených momentálně nelze vytvořit."
"We can't find the item.","Položku nelze najít."
"We can't copy the wish list item.","Položku seznamu oblíbených nelze kopírovat."
"We can't find %1 items.","Položky %1 nelze najít."
"We can't copy %1 items.","%1 položky nelze kopírovat."
"We can't delete the wish list right now.","Seznam oblíbených momentálně nelze odstranit."
"We can't find an item with this ID.","Položku s tímto ID nelze najít."
"We can't move the wish list item.","Položku seznamu oblíbených nelze přesunout."
"We can't move %1 items.","Položky %1 nelze přesunout."
"We can't add the item to shopping cart.","Položku nelze do nákupního košíku přidat."
"We can't add the following product(s) to shopping cart: %1.","Následující produkty nelze přidat do nákupního košíku: %1."
"%1 product(s) have been added to shopping cart: %2.","%1 produkt byl vložen do košíku: %2."
"Owner Name","Jméno vlastníka"
"Owner Email","E-mail vlastníka"
"%1's Wish List","%1 a jeho oblíbené"
"The wish list is not assigned to your account and can't be edited.","Seznam oblíbených není přiřazen k vašemu účtu a nelze jej upravit."
"Unknown Magento error","Neznámá chyba Magenta"
"Add To Order","Přidat k objednávce"
"Configure and Add to Order","Konfigurovat a přidat k objednávce"
"No items","Žádné položky"
"Add to:","Přidat do:"
"Copy to Wish List","Kopírovat do oblíbených"
"Move Selected to Wish List","Zvolené přesunout do oblíbených"
"Copy Selected to Wish List","Zvolené kopírovat do oblíbených"
"We can't create the Wish List right now.","Seznam oblíbených momentálně nelze vytvořit."
"Please select items to move.","Vyberte položky, které chcete přesunout."
"Please select items to copy.","Vyberte položky, které chcete kopírovat."
"Are you sure you want to delete your wish list? This action can't be undone.","Skutečně chcete váš seznam oblíbených odstranit? Tuto akci nelze vrátit zpět."
"Wish Lists","Seznam oblíbených"
"Ship to Multiple Addresses","Doručit na více adres"
"Billing Information - %1","Fakturační údaje - %1"
"Review Order - %1","Souhrn objednávky - %1"
"Total for this address","Celkem na tuto adresu"
"Shipping Methods","Způsoby přepravy"
"Edit Billing Address","Upravit fakturační adresu"
"Edit Shipping Address","Upravit doručovací adresu"
"Create Billing Address","Vytvořit fakturační adresu"
"Create Shipping Address","Vytvořit doručovací adresu"
"Data saving problem","Problém při uložení dat"
"Maximum qty allowed for Shipping to multiple addresses is %1","Maximální množství povolené pro doručení na více adres je %1"
"We cannot open the overview page.","Stránku s přehledem nelze otevřít."
"Please agree to all Terms and Conditions before placing the order.","Před dokončením objednávky je třeba odsouhlasit obchodní podmínky."
"Order place error","Chyba dokončení objednávky"
"Select Addresses","Zvolte adresy"
"Shipping Information","Informace o dopravě"
"Billing Information","Fakturační údaje"
"Order Success","Objednávka úspěšně odeslána"
"Default Billing","Výchozí fakturace"
"Default Shipping","Výchozí doprava"
"Select Address","Vyberte adresu"
"Back to Billing Information","Zpět na fakturační údaje"
"Please select a shipping address for applicable items.","Zvolte způsoby přepravy pro příslušné položky prosím."
"Send To","Odeslat na"
"A shipping selection is not applicable.","Výběr přepravy nelze použít."
"Go to Shipping Information","Přejít na doručovací údaje"
"Update Qty &amp; Addresses","Upravit množství &amp; adresy"
"Enter a New Address","Zadejte novou adresu"
"Back to Shopping Cart","Zpět na nákupní košík"
"Go to Review Your Order","Přejít na souhrn objednávky"
"Back to Shipping Information","Zpět na doručovací údaje"
"Other items in your order","Ostatní položky objednávky"
"Edit Items","Upravit položky"
"Shipping is not applicable.","Přepravu nelze použít."
"Check Out with Multiple Addresses","Pokladna pro doručení na více adres"
"Shipping To","Místo doručení"
"Order Review","Souhrn objednávky"
"Grand Total:","Celkem k úhradě:"
"Submitting order information...","Odesílám objednávku..."
"Ship to:",Příjemce:
Error:,Chyba:
"Address %1 <span>of %2</span>","Adresa %1 <span>z %2</span>"
"Sorry, no quotes are available for this order right now.","Nabídky k této objednávce nejsou momentálně dostupné."
"Continue to Billing Information","Pokračovat na fakturační údaje"
"Back to Select Addresses","Zpět na výběr adres"
"We can't complete your order because you don't have a payment method set up.","Objednávku nelze dokončit, protože nemáte nastaven způsob platby."
"Multishipping Settings Section","Sekce nastavení přepravy na více adres"
"Multishipping Settings","Nastavení přepravy na více adres"
"Allow Shipping to Multiple Addresses","Povolit doručení na více adres"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximální množství povolené pro doručení na více adres"
"Review Order","Souhrn objednávky"
"Select Shipping Method","Zvolte způsob přepravy"
